question_id,category,mode,expected,answer,exact_match,numeric_preservation,active_truth,gold_recall,input_tokens,kept_blocks,ttft_ms
Q0007,A,random,22 July 2027,"To determine the active delivery date for Project HELIOS-7, I'll need more specific information about the project timeline or milestones associated with this particular project. Without that detailed information, it's not possible to accurately identify the active delivery date for Project HELIOS-7. If you have access to any of the other projects",false,false,false,false,1901,16,5276.70
Q0007,A,bm25,22 July 2027,The active delivery date for Project HELIOS-7 is 22 July 2027.,true,true,true,true,1817,16,1997.04
Q0008,A,full,09 June 2027,"According to the information provided, the active delivery date for Project IRIS-8 is ""09 June 2027"". This indicates that the project is currently in progress as of this specific date.",false,true,false,true,6451,50,7340.31
Q0008,A,visibility,09 June 2027,The active delivery date for Project IRIS-8 is 09 June 2027.,true,true,true,true,1821,16,2153.07
Q0008,A,random,09 June 2027,The active delivery date for Project IRIS-8 is 09 June 2027.,true,true,true,true,1841,16,1989.73
Q0008,A,bm25,09 June 2027,The active delivery date for Project IRIS-8 is 09 June 2027.,true,true,true,true,1818,16,1962.38
Q0009,A,full,23 February 2027,"According to the document, Project JUPITER-9 has an ""Active Delivery Date"" of 23 February 2027. This means that the project will be completed or ready for use as soon as possible after this date.",false,true,false,true,6452,50,7678.64
Q0009,A,visibility,23 February 2027,"According to the given context, Project JUPITER-9 has an active delivery date of 23 February 2027.",true,true,true,true,1823,16,2824.27
Q0009,A,random,23 February 2027,"Based on the information provided in the given text, there is no specific mention of a ""Project Jupiter-9"" or any other project with an active delivery date. The text only lists projects under different categories (Legal, Marketing, Finance, etc.) without mentioning any particular project with a specific delivery date. Therefore, I",false,false,false,false,1909,16,5613.86
Q0009,A,bm25,23 February 2027,The active delivery date for Project JUPITER-9 is 23 February 2027.,true,true,true,true,1827,16,2152.06
Q0010,A,full,25 May 2027,"According to the given information, the active delivery date for Project KRONOS-10 is 25 May 2027. This can be found in DOC_0036, which lists the project details with their respective active delivery dates.",false,true,false,true,6453,50,8833.71
Q0010,A,visibility,25 May 2027,"According to the given information, Project KRONOS-10 has an ""Active Delivery Date"" of 25 May 2027. This means that the project is currently in progress as of this moment, with a planned start date of 25 May 2027 and expected completion by",false,true,false,true,1818,16,5869.56
Q0010,A,random,25 May 2027,"Based on the information provided, there appears to be no specific date mentioned for Project KRONOS-10 or any other project in this document. Each document listed contains various projects with different dates of completion or planned milestones, but does not include Project KRONOS-10 or any details about its specific active delivery",false,false,false,false,1903,16,5761.66
Q0010,A,bm25,25 May 2027,"According to the context provided, the active delivery date for Project KRONOS-10 is 25 May 2027.",false,true,false,true,1811,16,2787.74
Q0011,A,full,14 June 2027,"According to the information provided, Project LUNA-11 has an ""Active Delivery Date"" of 14 June 2027. This indicates that it is currently in progress and can be delivered as planned by this date.",false,true,false,true,6453,50,8192.06
Q0011,A,visibility,14 June 2027,The active delivery date for Project LUNA-11 is 14 June 2027.,true,true,true,true,1818,16,2342.74
Q0011,A,random,14 June 2027,"I apologize, but there appears to be an error in your request. The context you've provided does not contain any information about project names or specific dates associated with them. The context seems to list various projects and their respective delivery dates without providing details about which particular project's delivery date is being asked about. Without additional context",false,false,false,false,1903,16,5783.91
Q0011,A,bm25,14 June 2027,"According to the information provided, the active delivery date for Project LUNA-11 is 14 June 2027.",false,true,false,true,1821,16,2087.05
Q0012,A,full,22 June 2027,"According to the provided context, Project METEOR-12 has an ""active delivery date"" of 22 June 2027. This indicates that the project is currently underway with work starting in early 2027.",false,true,false,true,6453,50,5951.80
Q0012,A,visibility,22 June 2027,"According to the context, Project METEOR-12 has an ""active delivery date"" of 22 June 2027.",false,true,false,true,1824,16,2132.08
Q0012,A,random,22 June 2027,"To answer this question, I'll need to identify which project is being referred to in the given context. However, there appears to be an error in your request because you've asked about ""Project METEOR-12,"" but there's no specific mention of that project or any other projects in the provided context.",false,false,false,false,1911,16,5059.62
Q0012,A,bm25,22 June 2027,The active delivery date for Project METEOR-12 is 22 June 2027.,true,true,true,true,1817,16,2488.36
Q0013,A,full,16 April 2027,"According to the information provided, Project NEXUS-13 has an ""Active Delivery Date"" of 16 April 2027. This means that it is currently in the process of being developed and delivered by various departments within the organization.",false,true,false,true,6453,50,6687.27
Q0013,A,visibility,16 April 2027,"According to the context, Project NEXUS-13 has an active delivery date of 16 April 2027.",true,true,true,true,1830,16,2554.56
Q0013,A,random,16 April 2027,"Based on the information provided, there is no specific active delivery date mentioned for Project NEXUS-13 in the given context. The context describes various projects with different delivery dates but does not provide any details about Project NEXUS-13 or its specific delivery schedule. Therefore, I cannot answer the question """,false,false,false,false,1917,16,8019.64
Q0013,A,bm25,16 April 2027,"According to the given context, the active delivery date for Project NEXUS-13 is 16 April 2027.",false,true,false,true,1829,16,3259.89
Q0014,A,full,22 April 2027,"According to the provided context, Project ORION-14 has an ""Active Delivery Date"" of April 22, 2027.",false,true,false,true,6452,50,5608.83
Q0014,A,visibility,22 April 2027,"According to the context, Project ORION-14 (which appears to be a project code) has an active delivery date of 22 April 2027.",false,true,false,true,1824,16,3247.21
Q0014,A,random,22 April 2027,"I apologize, but I don't have enough information to determine the exact active delivery date for Project ORION-14 from the given context. The context only provides brief descriptions of various projects' main activities without specifying specific dates or deliverables for each one. To accurately answer this question, we would need additional details about",false,false,false,false,1904,16,5221.76
Q0014,A,bm25,22 April 2027,The active delivery date for Project ORION-14 is 22 April 2027.,true,true,true,true,1824,16,1816.61
Q0015,A,full,05 April 2027,"According to the project information provided, Project PHOENIX-15 has an ""Active Delivery Date"" of 05 April 2027. This indicates that the project is currently underway or in progress as of that specific date.",false,true,false,true,6454,50,7878.70
Q0015,A,visibility,05 April 2027,The active delivery date for Project PHOENIX-15 is 05 April 2027.,true,true,true,true,1821,16,1861.73
Q0015,A,random,05 April 2027,"I apologize, but there appears to be an error in your request. The provided context does not contain any information about project names or specific dates related to a project called ""PHOENIX-15."" Without more details from the original context, it's not possible to determine the active delivery date for this particular project",false,false,false,false,1913,16,4174.78
Q0015,A,bm25,05 April 2027,"According to the context, the active delivery date for Project PHOENIX-15 is 05 April 2027.",true,true,true,true,1822,16,2309.73
Q0016,A,full,14 November 2027,"According to the information provided, the active delivery date for Project QUASAR-16 is 14 November 2027.",false,true,false,true,6453,50,4207.48
Q0016,A,visibility,14 November 2027,"According to the information provided, the active delivery date for Project QUASAR-16 is 14 November 2027.",false,true,false,true,1826,16,2017.79
Q0016,A,random,14 November 2027,"According to the context, Project QUASAR-16 has an active delivery date of October 17, 2021. This can be found in the document titled ""Project QUASAR-16"" which lists various deliverables and milestones associated with this project.",false,false,false,false,1918,16,3796.95
Q0016,A,bm25,14 November 2027,"According to the information provided, the active delivery date for Project QUASAR-16 is 14 November 2027.",false,true,false,true,1825,16,2076.78
Q0017,A,full,04 February 2027,"According to the document, the active delivery date for Project RADAR-17 is ""04 February 2027"". This indicates that the project is currently underway as of this specific date.",false,true,false,true,6452,50,4965.24
Q0017,A,visibility,04 February 2027,The active delivery date for Project RADAR-17 is 04 February 2027.,true,true,true,true,1825,16,1785.34
Q0017,A,random,04 February 2027,"According to the context, Project RADAR-17 has an active delivery date of 04 February 2027.",true,true,true,true,1844,16,2198.04
Q0017,A,bm25,04 February 2027,The active delivery date for Project RADAR-17 is 04 February 2027.,true,true,true,true,1826,16,1798.01
Q0018,A,full,14 December 2027,"According to the information provided, the active delivery date for Project SIRIUS-18 is 14 December 2027.",false,true,false,true,6454,50,4229.24
Q0018,A,visibility,14 December 2027,"According to the information provided in the context, the active delivery date for Project SIRIUS-18 is 14 December 2027.",false,true,false,true,1830,16,2247.47
Q0018,A,random,14 December 2027,"According to the context, Project SIRIUS-18 has an active delivery date of 14 December 2027.",true,true,true,true,1845,16,2115.22
Q0018,A,bm25,14 December 2027,"According to the context provided, the active delivery date for Project SIRIUS-18 is 14 December 2027.",true,true,true,true,1818,16,2054.94
Q0019,A,full,07 March 2027,"According to the information provided, Project TITAN-19 has an active delivery date of 07 March 2027.",false,true,false,true,6453,50,3986.41
Q0019,A,visibility,07 March 2027,"According to the information provided in the context, the active delivery date for Project TITAN-19 is 07 March 2027.",false,true,false,true,1824,16,2439.19
Q0019,A,random,07 March 2027,"Based on the information provided in the context, there is no specific mention of a project with the name ""Project TITAN-19"". Without additional details about this particular project or the context where it appears, I cannot provide an accurate answer to your question regarding the active delivery date for that project.",false,false,false,false,1920,16,4370.69
Q0019,A,bm25,07 March 2027,"According to the context provided, the active delivery date for Project TITAN-19 was ""07 March 2027"". This information can be found in the last row of the table, under the ""Active delivery date"" column.",false,true,false,true,1816,16,3781.75
Q0020,A,full,07 April 2027,"According to the given document, Project URANUS-20 has an ""Active Delivery Date"" of 07 April 2027. This indicates that the project is currently in progress and is set to be delivered by this specific date.",false,true,false,true,6453,50,7721.71
Q0020,A,visibility,07 April 2027,"According to the given context, the active delivery date for Project URANUS-20 is 07 April 2027.",false,true,false,true,1835,16,3740.55
Q0020,A,random,07 April 2027,"I apologize, but I don't have enough context or information from the given text to answer the question about the active delivery date for Project URANUS-20. The text only mentions that the project has been optimized in various ways (methods), but it doesn't specify which one of these methods corresponds to the specific",false,false,false,false,1911,16,5609.53
Q0020,A,bm25,07 April 2027,"The active delivery date for Project URANUS-20 is stated as ""07 April 2027"".",true,true,true,true,1814,16,1850.39
Q0021,A,full,24 May 2027,"According to the document, Project VEGA-21 has an ""active delivery date"" of 24 May 2027. This indicates that it currently has a specific start date and end date marked in the project timeline.",false,true,false,true,6452,50,5595.21
Q0021,A,visibility,24 May 2027,"According to the information provided in the given context, Project VEGA-21 has an active delivery date of 24 May 2027. This can be seen from the sentence that states ""Project: VEGA-21"" followed by the specific year ""2027"".",false,true,false,true,1824,16,3917.89
Q0021,A,random,24 May 2027,The active delivery date for Project VEGA-21 is 24 May 2027.,true,true,true,true,1842,16,1551.87
Q0021,A,bm25,24 May 2027,"According to the information provided, the active delivery date for Project VEGA-21 is 24 May 2027.",false,true,false,true,1821,16,1759.07
Q0022,A,full,22 April 2027,"According to the document, Project WARP-22 has an ""active delivery date"" of 22 April 2027. This means that it is currently in progress but has not yet been finalized or completed.",false,true,false,true,6452,50,4929.42
Q0022,A,visibility,22 April 2027,The active delivery date for Project WARP-22 is 22 April 2027.,true,true,true,true,1823,16,1867.81
Q0022,A,random,22 April 2027,"According to the given context, Project WARP-22 has an active delivery date of 22 April 2027.",false,true,false,true,1835,16,1866.91
Q0022,A,bm25,22 April 2027,"According to the given context, the active delivery date for Project WARP-22 is stated as ""22 April 2027"".",false,true,false,true,1821,16,2058.35
Q0023,A,full,17 March 2027,"According to the provided context, Project XENON-23 has an ""Active Delivery Date"" of ""17 March 2027"". This indicates that the project is currently in progress as it has not yet been completed or concluded.",false,true,false,true,6453,50,5171.16
Q0023,A,visibility,17 March 2027,"According to the given context, Project XENON-23 has an active delivery date of 17 March 2027.",false,true,false,true,1822,16,1787.04
Q0023,A,random,17 March 2027,"Based on the information provided in the given context, there is no specific date mentioned for Project XENON-23. The context only provides general details about various projects under the same umbrella (DOC_0004) and their associated departments (Operations, HR, Engineering, Finance). Without additional information or updates",false,false,false,false,1906,16,3663.11
Q0023,A,bm25,17 March 2027,"According to the context provided, the active delivery date for Project XENON-23 was 17 March 2027.",false,true,false,true,1814,16,2143.87
Q0024,A,full,12 July 2027,"According to the information provided, Project ZENITH-24 has an ""active delivery date"" of 12 July 2027. This means that it is currently in progress and is expected to be completed by or before this date.",false,true,false,true,6453,50,5202.22
Q0024,A,visibility,12 July 2027,The active delivery date for Project ZENITH-24 is 12 July 2027.,true,true,true,true,1818,16,1626.75
Q0024,A,random,12 July 2027,"According to the information provided, Project ZENITH-24 has an active delivery date of 12 July 2027.",false,true,false,true,1838,16,1751.35
Q0024,A,bm25,12 July 2027,"The active delivery date for Project ZENITH-24 is stated as ""12 July 2027"".",true,true,true,true,1823,16,1566.66
Q0025,A,full,02 May 2027,"According to the information provided, the active delivery date for Project APEX-25 is 02 May 2027.",false,true,false,true,6453,50,3679.79
Q0025,A,visibility,02 May 2027,The active delivery date for Project APEX-25 is 02 May 2027.,true,true,true,true,1841,16,1484.68
Q0025,A,random,02 May 2027,"According to the information provided, Project APEX-25 is Active Delivery Date (AD) of 02 May 2027.",false,true,false,true,1839,16,2031.27
Q0025,A,bm25,02 May 2027,The active delivery date for Project APEX-25 is 02 May 2027.,true,true,true,true,1816,16,1677.72
Q0026,A,full,01 June 2027,"According to the information provided in the DOC_0039 document, Project BEACON-26 has an ""Active Delivery Date"" of 01 June 2027. This indicates that it is currently in the process of being developed or implemented at this specific point in time.",false,true,false,true,6453,50,5701.33
Q0026,A,visibility,01 June 2027,"According to the context, the active delivery date for Project BEACON-26 is 01 June 2027.",false,true,false,true,1821,16,1958.94
Q0026,A,random,01 June 2027,"To determine the active delivery date for Project BEACON-26, I'll need more specific information about that project. However, based on typical naming conventions and timelines:

1. If it's a software or platform development project, typically the active delivery date would be marked as ""beta"" or ""alpha.""

2",false,false,false,false,1904,16,3686.91
Q0026,A,bm25,01 June 2027,"The active delivery date for Project BEACON-26 is stated as ""01 June 2027"".",true,true,true,true,1816,16,1603.99
Q0027,A,full,28 October 2027,"According to the given information, Project CHRONOS-27 has an ""Active Delivery Date"" of 28 October 2027. This means that the project is currently being developed and may be completed by the end of October 2027.",false,true,false,true,6453,50,5192.68
Q0027,A,visibility,28 October 2027,The active delivery date for Project CHRONOS-27 is 28 October 2027.,true,true,true,true,1829,16,1793.10
Q0027,A,random,28 October 2027,"According to the provided context, Project CHRONOS-27 has an active delivery date of December 31, 2027. This can be found in the last sentence:

""Project CHRONOS-27 is optimized its delivery strategy to achieve better standard delivery processes across all business units.""

So",false,false,false,false,1914,16,4251.27
Q0027,A,bm25,28 October 2027,The active delivery date for Project CHRONOS-27 is 28 October 2027.,true,true,true,true,1815,16,1561.30
Q0028,A,full,03 August 2027,"According to the provided information, Project DAWN-28 has an ""Active Delivery Date"" of 03 August 2027. This indicates that the project is currently in progress as of this date.",false,true,false,true,6452,50,4589.09
Q0028,A,visibility,03 August 2027,The active delivery date for Project DAWN-28 is 03 August 2027.,true,true,true,true,1827,16,1377.42
Q0028,A,random,03 August 2027,The active delivery date for Project DAWN-28 is 03 August 2027.,true,true,true,true,1836,16,1359.87
Q0028,A,bm25,03 August 2027,"According to the context, Project DAWN-28 has an active delivery date of 03 August 2027.",true,true,true,true,1817,16,1573.66
Q0029,A,full,20 December 2027,"According to the document, Project ECLIPSE-29 has an ""active delivery date"" of 20 December 2027. This indicates that the project is currently in progress but has not yet been completed or finalized.",false,true,false,true,6454,50,4876.54
Q0029,A,visibility,20 December 2027,The active delivery date for Project ECLIPSE-29 is 20 December 2027.,true,true,true,true,1831,16,1860.22
Q0029,A,random,20 December 2027,"I'm sorry, but I don't have enough information to determine the specific active delivery date for Project ECLIPSE-29 from the given context. The context only mentions that the project has different stages or milestones, such as DOC_0001, DOC_0014, etc., but",false,false,false,false,1919,16,4116.70
Q0029,A,bm25,20 December 2027,The active delivery date for Project ECLIPSE-29 is 20 December 2027.,true,true,true,true,1823,16,1712.83
Q0030,A,full,27 December 2027,"According to the information provided, the active delivery date for Project FALCON-30 is 27 December 2027.",false,true,false,true,6453,50,3721.64
Q0030,A,visibility,27 December 2027,The active delivery date for Project FALCON-30 is 27 December 2027.,true,true,true,true,1833,16,1291.28
Q0030,A,random,27 December 2027,"I apologize, but I do not have enough information from the given context to determine the specific project or deliverable associated with Project FALCON-30. The context mentions various projects (DOC_0001 through DOC_0049) without providing details about Project FALCON-30.",false,false,false,false,1904,16,3307.36
Q0030,A,bm25,27 December 2027,"According to the information provided in the given context, the active delivery date for Project FALCON-30 is 27 December 2027.",false,true,false,true,1816,16,1879.91
Q0031,A,full,25 February 2027,"According to the information provided, Project GENESIS-31 has an active delivery date of 25 February 2027. This indicates that it is currently in progress as of this writing.",false,true,false,true,6452,50,4412.99
Q0031,A,visibility,25 February 2027,The active delivery date for Project GENESIS-31 is 25 February 2027.,true,true,true,true,1834,16,1674.55
Q0031,A,random,25 February 2027,"I apologize, but I do not have enough context or information to determine the exact active delivery date for Project GENESIS-31. Without this specific project details, it's impossible to provide an accurate answer about when the project was last delivered. If you can provide more details about the Project GENESIS-31 in",false,false,false,false,1916,16,4162.89
Q0031,A,bm25,25 February 2027,"According to the given context, the active delivery date for Project GENESIS-31 is 25 February 2027.",true,true,true,true,1821,16,1692.94
Q0032,A,full,09 September 2027,"According to the document, Project HELIOS-32 has an ""active delivery date"" of 09 September 2027. This indicates that it currently has a planned release date but is still being developed or tested.",false,true,false,true,6452,50,5135.60
Q0032,A,visibility,09 September 2027,The active delivery date for Project HELIOS-32 is 09 September 2027.,true,true,true,true,1832,16,1413.10
Q0032,A,random,09 September 2027,"I apologize, but I don't have enough information from the given context to determine the active delivery date for Project HELIOS-32. The context only mentions some of the projects listed under ""Project"" without specifying their specific dates or deliverables. Without additional details about each project's schedule, timeline, and deliverables",false,false,false,false,1908,16,3548.78
Q0032,A,bm25,09 September 2027,"According to the context, the active delivery date for Project HELIOS-32 is ""09 September 2027"".",true,true,true,true,1812,16,2072.99
Q0033,A,full,07 September 2027,"According to the document, Project IRIS-33 has an ""active delivery date"" of September 7, 2027.",false,false,false,true,6452,50,3929.03
Q0033,A,visibility,07 September 2027,"According to the given context, Project IRIS-33 has an ""active delivery date"" of 07 September 2027. This information is explicitly stated in the second sentence of the provided text.",false,true,false,true,1814,16,2791.72
Q0033,A,random,07 September 2027,"I'm sorry, but I don't have enough context to answer this specific question about Project IRIS-33. The context you've provided seems incomplete or not relevant to your request for information about a project called ""Project IRIS-33."" Without more details about that particular project, it's impossible for me",false,false,false,false,1903,16,3555.84
Q0033,A,bm25,07 September 2027,"According to the information provided, the active delivery date for Project IRIS-33 is 07 September 2027.",true,true,true,true,1818,16,1782.77
Q0034,A,full,04 December 2027,"According to the document, Project JUPITER-34 has an ""Active Delivery Date"" of 04 December 2027.",true,true,true,true,6453,50,4075.21
Q0034,A,visibility,04 December 2027,"According to the context, the active delivery date for Project JUPITER-34 is 04 December 2027.",true,true,true,true,1835,16,1663.63
Q0034,A,random,04 December 2027,"I apologize, but I don't have enough context or information to determine the exact project ID or name associated with Project JUPITER-34. Without this specific details, it's not possible to provide an accurate answer regarding the active delivery date of that particular project. If you could provide more details about the project or",false,false,false,false,1907,16,4334.17
Q0034,A,bm25,04 December 2027,The active delivery date for Project JUPERTY-34 is 04 December 2027.,true,true,true,true,1822,16,1866.95
Q0035,A,full,19 October 2027,"According to the information provided, Project KRONOS-35 is currently in the ""ACTIVE"" status as of the last update I checked (as of 19 October 2027). The project has an ""Active Delivery Date"" of 19 October 2027.",false,true,false,true,6453,50,5762.03
Q0035,A,visibility,19 October 2027,"According to the information provided, the active delivery date for Project KRONOS-35 is 19 October 2027.",false,true,false,true,1819,16,1778.17
Q0035,A,random,19 October 2027,"According to the given context, the active delivery date for Project KRONOS-35 is 19 October 2027.",true,true,true,true,1831,16,1702.75
Q0035,A,bm25,19 October 2027,"The active delivery date for Project KRONOS-35 is stated as ""19 October 2027"". This information is clearly provided in the given text, making it an accurate answer to the question.",false,true,false,true,1817,16,2465.38
Q0036,A,full,01 March 2027,"According to the context, Project LUNA-36 has an ""Active Delivery Date"" of 01 March 2027. This indicates that it is currently in progress as of this writing.",false,true,false,true,6453,50,4676.47
Q0036,A,visibility,01 March 2027,The active delivery date for Project LUNA-36 is 01 March 2027.,true,true,true,true,1832,16,1821.11
Q0036,A,random,01 March 2027,The active delivery date for Project LUNA-36 is 01 March 2027.,true,true,true,true,1841,16,1657.09
Q0036,A,bm25,01 March 2027,"According to the context provided, the active delivery date for Project LUNA-36 is 01 March 2027.",false,true,false,true,1836,16,1921.58
Q0037,A,full,25 March 2027,"According to the information provided in the DOC_0037 document, Project METEOR-37 has an ""Active Delivery Date"" of 25 March 2027. This indicates that the project is currently underway and has not yet been finalized or completed.",false,true,false,true,6453,50,5495.37
Q0037,A,visibility,25 March 2027,"According to the information provided, the active delivery date for Project METEOR-37 is 25 March 2027.",false,true,false,true,1829,16,1786.81
Q0037,A,random,25 March 2027,"To answer this question, I'll need more information about the context or project details you're referring to. However, I can provide some general guidance:

If you have specific details about the Project METEOR-37 or the projects mentioned in your text, I'd be happy to try to find out what the active",false,false,false,false,1903,16,3423.67
Q0037,A,bm25,25 March 2027,"According to the information provided, the active delivery date for Project METEOR-37 is 25 March 2027.",false,true,false,true,1827,16,1657.38
Q0038,A,full,17 October 2027,"According to the project information provided, Project NEXUS-38 has an ""Active Delivery Date"" of 17 October 2027. This indicates that it is currently in progress and ready for implementation or execution as per the given timeline.",false,true,false,true,6453,50,5101.42
Q0038,A,visibility,17 October 2027,The active delivery date for Project NEXUS-38 is 17 October 2027.,true,true,true,true,1829,16,1662.18
Q0038,A,random,17 October 2027,"I'm sorry, but I cannot provide an answer without additional context or information about the specific project being referred to by ""Project NEXUS-38"". Could you please clarify which project this is from?",false,false,false,false,1911,16,2503.99
Q0038,A,bm25,17 October 2027,"According to the information provided, the active delivery date for Project NEXUS-38 is stated as ""17 October 2027"".",false,true,false,true,1814,16,1761.34
Q0039,A,full,27 October 2027,"According to the given information, Project ORION-39 has an ""Active Delivery Date"" of 27 October 2027. This indicates that it is currently in the process of being developed or implemented by various departments within the organization.",false,true,false,true,6452,50,5030.69
Q0039,A,visibility,27 October 2027,The active delivery date for Project ORION-39 is 27 October 2027.,true,true,true,true,1830,16,1454.89
Q0039,A,random,27 October 2027,"According to the given context, Project ORION-39 has an active delivery date of 27 October 2027.",true,true,true,true,1841,16,1765.18
Q0039,A,bm25,27 October 2027,The active delivery date for Project ORION-39 is 27 October 2027.,true,true,true,true,1815,16,1722.41
Q0040,A,full,03 March 2027,"According to the information provided, the active delivery date for Project PHOENIX-40 is 03 March 2027. This indicates that the project was started or planned to be completed by this date.",false,true,false,true,6454,50,4912.31
Q0040,A,visibility,03 March 2027,The active delivery date for Project PHOENIX-40 is 03 March 2027.,true,true,true,true,1836,16,1619.15
Q0040,A,random,03 March 2027,"According to the given context, Project PHOENIX-40 has an active delivery date of 03 March 2027.",false,true,false,true,1847,16,1785.39
Q0040,A,bm25,03 March 2027,"According to the context, the active delivery date for Project PHOENIX-40 is 03 March 2027.",true,true,true,true,1821,16,1862.32
Q0041,A,full,25 August 2027,"According to the context, Project QUASAR-41 has an ""active delivery date"" of 25 August 2027. This means that it is currently being developed or implemented, and there are no further deadlines mentioned for this specific project.",false,true,false,true,6453,50,5372.97
Q0041,A,visibility,25 August 2027,"According to the given context, the active delivery date for Project QUASAR-41 is 25 August 2027.",false,true,false,true,1815,16,1652.49
